,district,year,yield_mt,log_yield,district_yield_mean,demean_yield,k-fold_prediction,k-fold_district_prediction_mean,k-fold_demean_prediction,logo_prediction,logo_district_prediction_mean,logo_demean_prediction
336,Namwala,2016,1.3391956,0.3690665383756129,0.2761334076272252,0.09293313074838766,0.3402203454523031,0.28347102907553784,0.05674931637676528,0.35991148291934894,0.3225528310261595,0.03735865189318943
337,Namwala,2017,1.0458239,0.3108682478757741,0.2761334076272252,0.03473484024854889,0.3506944326952001,0.28347102907553784,0.06722340361966228,0.5096450810911622,0.3225528310261595,0.18709225006500274
338,Namwala,2018,0.52168161,0.1823237920632568,0.2761334076272252,-0.09380961556396841,0.22043049533167733,0.28347102907553784,-0.06304053374386051,0.2904236739275392,0.3225528310261595,-0.0321291570986203
339,Namwala,2019,0.210628354,0.08301084126126516,0.2761334076272252,-0.19312256636596004,0.06884050302759437,0.28347102907553784,-0.21463052604794347,0.11051383850380786,0.3225528310261595,-0.21203899252235164
340,Namwala,2020,1.649762248,0.423206908271218,0.2761334076272252,0.14707350064399277,0.3917794431997248,0.28347102907553784,0.10830841412418696,0.5047719457556213,0.3225528310261595,0.18221911472946184
341,Namwala,2021,0.942334919,0.2883241179162242,0.2761334076272252,0.012190710288998985,0.32886095474672716,0.28347102907553784,0.045389925671189324,0.16005096395947738,0.3225528310261595,-0.16250186706668213
342,Nchelenge,2016,2.5836995,0.5543315861007947,0.5060873714089197,0.04824421469187501,0.5496006117693653,0.5226265119681347,0.026974099801230556,0.44923118740574186,0.5361446386430327,-0.08691345123729088
343,Nchelenge,2017,2.2126985,0.5068699705156602,0.5060873714089197,0.0007825991067405003,0.5112665573666417,0.5226265119681347,-0.011359954601492972,0.616925543294459,0.5361446386430327,0.08078090465142629
344,Nchelenge,2018,2.1147962,0.49342963619232744,0.5060873714089197,-0.012657735216592247,0.562944309699501,0.5226265119681347,0.040317797731366345,0.4722788788486368,0.5361446386430327,-0.06386575979439596
345,Nchelenge,2019,1.604963554,0.41580165147146897,0.5060873714089197,-0.09028571993745071,0.4438505102011097,0.5226265119681347,-0.07877600176702498,0.599099223380097,0.5361446386430327,0.06295458473706428
346,Nchelenge,2020,2.441062908,0.5366926122743839,0.5060873714089197,0.030605240865464234,0.5431205116513701,0.5226265119681347,0.020493999683235398,0.6965492709287626,0.5361446386430327,0.16040463228572988
347,Nchelenge,2021,2.38375392,0.5293987718988828,0.5060873714089197,0.023311400489963163,0.5249765711208206,0.5226265119681347,0.002350059152685935,0.3827837280004992,0.5361446386430327,-0.15336091064253354
348,Ndola,2016,3.6122153,0.6639095721307984,0.5790694774839507,0.08484009464684772,0.5199675779710645,0.5444287731153556,-0.024461195144291126,0.5299478190706401,0.5186506994358769,0.011297119634763209
349,Ndola,2017,2.3715832,0.5278338811578651,0.5790694774839507,-0.05123559632608554,0.5451748935876289,0.5444287731153556,0.0007461204722732928,0.6082890479508699,0.5186506994358769,0.08963834851499297
350,Ndola,2018,3.0773473,0.6103777053323797,0.5790694774839507,0.031308227848429016,0.5600601372008212,0.5444287731153556,0.015631364085465504,0.4297217582220132,0.5186506994358769,-0.08892894121386374
351,Ndola,2019,2.588667874,0.5549332668694575,0.5790694774839507,-0.024136210614493114,0.49439089082999066,0.5444287731153556,-0.05003788228536499,0.5187457769970963,0.5186506994358769,9.507756121940325e-05
352,Ndola,2020,2.303509499,0.5189755599281577,0.5790694774839507,-0.060093917555792964,0.5419485309106209,0.5444287731153556,-0.0024802422047347505,0.5578855536209693,0.5186506994358769,0.039234854185092316
353,Ndola,2021,2.966312051,0.5983868794850455,0.5790694774839507,0.019317402001094885,0.6050306081920077,0.5444287731153556,0.060601835076652066,0.4673142407536728,0.5186506994358769,-0.051336458682204156
354,Nyimba,2016,1.6702282,0.42654837813079527,0.41929517718937737,0.007253200941417903,0.3126493974093435,0.3874115388578472,-0.07476214144850368,0.2581410188254246,0.35313589357624303,-0.09499487475081841
355,Nyimba,2017,1.8011197,0.4473316678877352,0.41929517718937737,0.02803649069835784,0.44478750147149965,0.3874115388578472,0.057375962613652465,0.4298605726701857,0.35313589357624303,0.07672467909394265
